"participant","variable","value"
"P1","stick_insect",8
"P2","stick_insect",9
"P3","stick_insect",6
"P4","stick_insect",5
"P5","stick_insect",8
"P6","stick_insect",7
"P7","stick_insect",10
"P8","stick_insect",12
"P1","kangaroo_testicle",7
"P2","kangaroo_testicle",5
"P3","kangaroo_testicle",2
"P4","kangaroo_testicle",3
"P5","kangaroo_testicle",4
"P6","kangaroo_testicle",5
"P7","kangaroo_testicle",2
"P8","kangaroo_testicle",6
"P1","fish_eye",1
"P2","fish_eye",2
"P3","fish_eye",3
"P4","fish_eye",1
"P5","fish_eye",5
"P6","fish_eye",6
"P7","fish_eye",7
"P8","fish_eye",8
"P1","witchetty_grub",6
"P2","witchetty_grub",5
"P3","witchetty_grub",8
"P4","witchetty_grub",9
"P5","witchetty_grub",8
"P6","witchetty_grub",7
"P7","witchetty_grub",2
"P8","witchetty_grub",1
